title,abstract,toc,true_lcsh_subjects,top_similar_lcsh_subjects,category,true_label_ranks
"crisis in agriculture and response : proceedings of seminar, august 23, 1998, held at sundarayya vignana kendram, hyderabad",with reference to india,machine generated contents note: about the seminar v sreenivasa rao -- about the foundation alluri satyanarayana -- preface a: auri satya narayana -- inagural address koratala satyanarayana -- presidential remarks d narasimha reddy -- impact of globaisation on: prabhat patnaik -- indian agricuture -- crisis and response : biplab dass gupta -- crisis in indian agriculture: kr chowdry -- crisis and response : a prasad raco -- andhra pradesh scenario -- problems and prospects: mp seshaiah -- of poultry farming,['agriculture'],"['agricultural development projects', 'agriculture and state']",s,{'agriculture': 14}
"modernizing indian agriculture in 21st century : challenges, opportunities and strategies",contributed articles,"machine generated contents note: section i lead papers -- agricultural extension policy from farners' 19 -- perspective - ag sawant -- modernizationof indian agriculture in the 37 -- 21st century: reforms in technology development -- and technology dissemination-- s kannaiyan -- modernizing indian agriculture in 21 s century 56 -- technology development, some macro issues, -- opportunities and strategies for development -- - a venkataraman and krishnaveni muthiah -- indian agriculture at the cross-roads and the 64 -- strategies for technology development -- and technology disseination for meeting the -- challenges in 21st century -pn jha -- modernizing indian agriculture in 21 stcentury: 71 -- challenges, opportunities and strategies -- - m swamiappan -- modernizing indian agriculture in 21st century: 77 -- challenges, opportunities and strategies - g perumal -- section : technology development -- participatory technology development: the need 85 -- of the new millennium - r a chandran -- technology development as a strategy for 96 -- modernizing indian agriculture during the -- new millennium - k naryana swamy -- pra and fsr/e -two new approaches for rural 103 -- development - madha dhikari and gs momi -- farmer participatory plant breeding: an innovative 112 -- approach in technologygeneration - p arunachalam, -- r saravanan and n anandaraja -- section mi :technology dissmination -- changing needs oftensiondelive system 123 -- -p badrinarayanan -- shgs: a keyto technologyisseination 136 -- - 1kj sherin and shibu sebastian -- modernizing ndian agriculture in 21st centuy: 140 -- through mode te hnologydi -- -nk khareand rajula chandran -- agricultural extension in the21stcentury: 153 -- challenges and strategies - saravanan -- and ns shivalinge gowda -- participatory videofor social change 160 -- - h philip andsriram -- sustainable public extension service: 167 -- issues and strategies a shaik alddin -- technology and agricultural development: 175 -- scaling new heights - seema and r annamalai -- effectiveness of instructor controled interactive 181 -- video presentation in transfer of technology -- - c selvara and h philip -- privatising extension services for agriculture: 191 -- a tool for promoting commercial agriculture in indian -- farmning g selvaraj and ravikumar theodore -- 20 future prospects of agricultural extension 195 -- -seema and r a amalai -- 21 information flow and development callenge 201 -- - seema and r annamalai -- 22 office -less extension system for farmer 207 -- development ,s mothilal nehru -- and nk jayachithra -- 23 information technology: vision forthe 214 -- new millennium--beena c panicker -- and mr choudhary -- section iv: technology utilization -- peoples planning programme: 221 -- a brave step towards modernisation -- - jayasree krishnankuy and kxj sherin -- uparketing: a toolformode isation 225 -- of agriculture - shibu sebastian -- i shjerin and nambiar sajini- blakrishnan -- prduction and marketing constraints faced by 228 -- lower growers - ph yelpanekar and gk sawant -- ehlogicalap in adoptio of ms om cultwiation 233 -- -:sube singh, ps shehrawat and vk makhija -- establishingfarmerorganizationst: x240 -- avitalroeforextenionin 21st century -- - a shaikalaudinand s an j ar -- identation information sour 250 -- andainrkaur: -- adoptiofanimal husbandrp tices by 257 -- im pacof self helpgroupsc (shgs)itn fruit 266 -- g ta sector o a","['agriculture', 'agricultural innovations', 'agriculture and state']","['agriculture innovations', 'agricultural innovations', 'agricultural development projects']",s,"{'agriculture': 25, 'agricultural innovations': 2, 'agriculture and state': 23}"
"social forestry and community development : proceedings of a national workshop held at the institute of forestry, chittagong university, bangladesh on october 5-10, 1991",contributed articles,"social forestry for rural development in developing regions / vc mango -- policy issues for social forestry development in bangladesh / syed salamat ali -- social forestry as a development strategy / aa bhuiyan -- programmes and progress of social forestry in bangladesh / aa bhuiyan -- targets, goals, and objectives of social forestry programme / mr ahmed -- delivery systems for social forestry / saiful islam -- approaches and roles of ngos in social forestry development in bangladesh / mr ahmed -- farming system research and extension for social forestry development / manjoor murshed bhuiyan -- betagi community forestry project as a social forest model in bangladesh / afzalur rahman -- women in social forestry in bangladesh / kursheda khondaker -- planning and designing of social forestry project / mr ahmed -- impacts of social forestry practices / mk bhuiyan","['forests and forestry', 'social forestry programs', 'community forests', 'rural development']","['forestry and community', 'community forestry', 'social forestry programs', 'sustainable forestry']",s,"{'forests and forestry': 7, 'social forestry programs': 3, 'community forests': 27, 'rural development': 10}"
hill irrigation : the question of rehabilitation,with reference to nepal,"machine generated contents note: iintroduction -- objectives of the study -- conceptualizing intervention, sustainability, technology -- and institution -- intervention -- sustainability -- technology -- institution -- approach and methodology -- site selection criteria -- chapter plan -- iiintervention and irrigation technology -- canal lining and sustainability of hill irrigation systems -- characteristics of conveyance canals in fmiss -- objectives of canal lining -- leaking canals and their technological assessment -- options for change -- appropriateness of present irrigation technology and -- productivity of rehabilitated fmiss -- technological constraint on irrigating spring crops -- options for change -- iiiintervention and agricultural productivity -- effects of fmiss intervention on cropping pattern, -- intensity and yield -- cropping pattern -- cropping intensity -- crop yield -- consolidated benefits through intervention in fmiss -- issues on sustainability -- ivinterventions and institutions -- institutional and organizational arrangements -- factors related to weakening and strengthening of -- institutional and organizational arrangements -- need to define water rights between old and new users -- availability of multiple sources of irrigation -- incorporating same command area in more than -- one rehabilitated system -- institutional and organizational arrangements before intervention -- effects of intervention on sustainability of irrigation systems -- mobilization of internal resources -- mobilization of external resources -- weaknesses in the participatory approach -- lack of transparency and accountability in intervention -- vintervention and ecological sustainability -- environmental problems faced by hill fmiss -- ecological conditions in the hills -- types of problems faced by fmiss -- impact of intervention in fmiss on environment -- beneficial impact -- adverse impact -- sustainability of rehabilitated fmiss from ecological perspective -- farmers' consideration for environmental protection -- compatibility of technology -- people's participation and community's involvement -- use of environmental impact assessment -- bioengineering practice -- visummary and recommendations -- summary -- stagnant agricultural productivity -- technological faults -- institutional faults -- environmental situation -- recommendations -- agricultural -- technological -- institutional -- environmental -- appendices -- bibliography -- list of publications","['irrigation', 'irrigation farming', 'irrigation', 'irrigation']","['irrigation farming', 'irrigation', 'water-supply, agricultural']",s,"{'irrigation': 2, 'irrigation farming': 1}"
protecting forests,"describes different types of forests and where they grow, explains the role trees play in keeping the air clean, and discusses deforestation, acid rain, and forest conservation",our world -- forest facts -- green clean-air machines -- green forest or greenhouse? -- making space -- digging under -- water on tap -- mountains of wood -- acid and aliens -- rich world or poor world? -- forest spirits -- project forests -- think globally -- sustaining our world,"['forest protection', 'forest conservation']","['forest protection', 'forest conservation']",s,"{'forest protection': 1, 'forest conservation': 2}"
rats,"describes how to select a pet rat, what to feed it, and when to take it to the vet, as well as how to keep a pet scrapbook",what is a rat? -- rat facts -- are rats for you? -- choosing your rats -- what do i need? -- looking after your rats -- handling your rats -- some health problems -- growing old -- keeping a record,['rats as pets'],"['rats as pets', 'rodents as pets']",s,{'rats as pets': 1}
dogs on the job! : true stories of phenomenal dogs,"a collection of true stories of animals that work for a living, including alaskan sled dogs, bomb-sniffing dogs, and canine movie stars",introduction: what's work to a dog? -- bark-ing in the bay -- sheepish behavior -- cleared for takeoff -- sniffing for black diamonds -- the dog who didn't need to hear -- the pet trackers -- old-fashioned detective work -- top dog on the campus -- a nose for safety -- the pick of the litter -- stubby the spy-catcher and other war heroes -- athletes with esp -- stars of the silver screen -- toga and gracie -- balto's race against death -- the dog who leads two lives -- the most important gift -- leaving prison behind -- conclusion: the king's loyal friend,['working dogs'],"['working dogs', 'dog industry', 'animals in police work', 'dog rescue']",s,{'working dogs': 1}
signs at the park,"sally explains the signs that she and her mother see while walking their dog in a park, such as those that direct them to a trail and show who can use that trail",signs in the park -- a trail -- exit sign,"['dog walking', 'parks', 'signs and signboards']","['signs and signboards', 'garden walks']",s,"{'dog walking': 6, 'parks': 5, 'signs and signboards': 1}"
johnny appleseed,"explores the background, accomplishments, and stories of american folk hero johnny appleseed",a peaceful planter -- growing up -- johnny heads west -- growing apples -- the look of a legend -- more apple trees -- tree tales -- johnny's path of life -- all about johnny -- map skills -- what have you learned? -- words to know,"['apple growers', 'frontier and pioneer life']",['apple growers'],s,"{'apple growers': 1, 'frontier and pioneer life': 18}"
"happy pets, healthy pets","describes common household pets, what makes them enjoyable to own, and ways to care for them","all kinds of pets -- safe at home -- water, water, everywhere! -- good food -- hot and cold -- vets for pets -- walk, run, and jump -- lots of love -- did you know?",['pets'],"['pets', 'pet owners', 'dog owners']",s,{'pets': 1}
plant tricksters,introduces various plants that use unusual defense mechanisms to survive,the impostors -- rotten smells -- color-change artists -- battling robbers and munchers -- grab bag of tricks,"['plants', 'plant defenses']","['plant defenses', 'plants', 'plants and history']",s,"{'plants': 2, 'plant defenses': 1}"
a hunter's journey : the education of an outdoorsman,"one mans experience and evolution as an angler, hunter, and naturalist","the outdoorsman's son -- friends and teachers -- brook trout hunter -- violatin' -- hound dog man -- a measure of success -- the bow hunter -- bears -- wild turkey -- the yellow dog -- then came ducks -- the arkansas grand prairie -- blood trail -- humble pie -- almost perfect -- old mossy horns -- overnighter on the west branch -- my gosh, i'm the old-timer -- no closed season -- mileposts in the mirror","['hunting', 'fishing', 'outdoor life']","['hunting stories', 'deer hunting', 'big game hunters', 'white-tailed deer hunting']",s,"{'hunting': 8, 'fishing': 37, 'outdoor life': 34}"
life on a sheep farm,"explains the activities that take place on a working sheep farm, from the perspective of a child who lives there","grandma's sheep farm -- welcome, little lambs -- sheep give us wool -- fun facts about sheep -- learn more about sheep","['sheep', 'sheep ranches', 'farm life']","['farm life', 'sheep ranches', 'sheep ranchers', 'family farms']",s,"{'sheep': 5, 'sheep ranches': 2, 'farm life': 1}"
life on a dairy farm,"explains the activities that take place on a working dairy farm, from the perspective of a child who lives there",our dairy farm is ar-joy -- a calf is born -- happy cows make good milk -- fun facts about cows -- learn more about cows,"['dairy cattle', 'cows', 'dairy farms', 'farm life']","['farm life', 'dairy farming', 'dairy farms']",s,"{'dairy cattle': 6, 'cows': 43, 'dairy farms': 3, 'farm life': 1}"
"meghalaya agriculture statistics, 1970-71 to 1999-2000 : area, production, and yield of principal crops",chiefly statistics,v 1 1970-71 to 1986-87 -- v 2 1987-88 to 1999-2000 -- v 3 1999-2000 to 2006-07 -- v 4 2007-08 to 2012-13,['agriculture'],"['agricultural productivity', 'crops yields']",s,{'agriculture': 19}
indian agriculture in the changing environment,contributed articles,v 1 changing contours of indian agriculture / vs vyas -- agriculture in the changing environment / c rangarajan -- towards a new paradigm of agricultural growth / na majumdar -- a viable agriculture in the new international trade regime / ch hanumantha rao -- towards hunger free india / kc pant v 2 subsidies and investments in indian agriculture / ashok gulati and anil sharma -- intellectual property rights and agricultural technology / madhav gadgil and ghate utkarsh -- emerging imperatives of agricultural marketing / c rangarajan -- freeing trade in agriculture / ashok gulati and anil sharma,"['agriculture', 'agriculture', 'agriculture and state']","['agricultural development projects', 'agricultural diversification', 'sustainable agriculture']",s,"{'agriculture': 12, 'agriculture and state': 11}"
gully erosion and management methods and application : a field manual,with reference to allahabad district of india,"machine generated contents note: introduction -- geoenvironmental background -- climatic and hydrological studies -- geomorphometry of gully basin -- temporal variations in gully network -- gully erosion dynamics -- soil loss, suspended sediment load and siltation -- correlates of gully erosion and soil loss -- morphogenesis of gullies, nutrient loss and gully management -- conclusions","['soil erosion', 'soil conservation']","['soil erosion', 'floodplain management', 'geomorphology', 'watershed management']",s,"{'soil erosion': 1, 'soil conservation': 6}"
bibliography and abstracts of the american bison [electronic resource],"contains text and indexes to three publications: bibliography, parasites of the american bison; bibliography, brucellosis in the american bison; and bibliography, tuberculosis in the american bison",parasites -- brucellosis -- tuberculosis,"['american bison', 'american bison', 'brucellosis in animals', 'tuberculosis in animals']","['american bison', 'brucellosis in animals', 'tuberculosis in animals']",s,"{'american bison': 1, 'brucellosis in animals': 2, 'tuberculosis in animals': 3}"
blazing bush and forest fires,"describes the causes and effects of forest and bush fires, case studies of past fires, how they are fought, and how they can be predicted or prevented in the future","what is a bush or forest fire? -- what causes bush and forest fires? -- what damage do the forest fires cause? -- case study: black christmasi australia, 2001 -- are forest fires ever useful? -- case study: fire at yellowstone park, 1988 -- how do people fight fires? -- case study: colorado, 2002 -- what happens after a fire? -- can forest fires be predicted? -- can forest fires be prevented? -- case study: indonesian forest fires, 1997 -- will there be forest fires in the future? -- some major bush and forest fires of the 20th century",['forest fires'],"['forest fires', 'fire ecology', 'wildfire risk']",s,{'forest fires': 1}
chronic wasting disease,"describes cwd, a deadly disease that affects deer and elk, detailing its cause and symptoms, as well as research that is being done to control the epidemic and find a cure",the beginning -- cwd spreads like wildfire -- science -- why is it an epidemic? -- what the future holds,['chronic wasting disease'],"['chronic wasting disease', 'wildlife diseases', 'animal health', 'lameness in cattle']",s,{'chronic wasting disease': 1}
from milk to cheese,briefly introduces the process by which cheese is made from milk,a farmer milks cows -- the milk is heated -- the milk turns sour -- workers chop the curd -- the curd is drained -- workers salt the curd -- machines press the curd -- the cheese sits -- the cheese is wrapped -- eat the cheese!,"['cheese', 'milk']","['cheesemaking', 'cheese industry', 'raw milk']",s,"{'cheese': 6, 'milk': 9}"
how smart is your dog? : 30 fun science activities with your pet,"discusses how a dog's body works, how it perceives the world, how it communicates and responds, and dogs' health concerns includes related activities and experiments",your dog's body -- your dog's world -- inside your dog's mind -- your dog's health and functioning,"['dogs', 'dogs', 'dogs']","['games for dogs', 'dog sports']",s,{'dogs': 22}
life of a dog,describes the stages of a dog's life and how puppies learn various behaviors as they grow,the dog -- a dog's life -- a litter of puppies -- first steps -- hello world! -- playtime -- meal time -- a new home -- walks -- growing up! -- territory -- pairing up -- new life,['dogs'],"['dog sports', 'games for dogs', 'dog breeds', 'animal behavior']",s,{'dogs': 23}
life as a chicken,"takes a comprehensive look at the characteristics of the chicken, from egg to adult",a nest of eggs -- hens -- hatching -- chicks -- a chick's life -- growing -- from chick to chicken -- day and night -- laying eggs -- new chick quiz,['chickens'],"['poultry', 'chickens']",s,{'chickens': 2}
forest furnace wildfires,"presents information on forest fires, giving specific examples from around the world",sparks -- mercury rising -- flashpoint! -- the big burn -- fighting the flames -- smoke and ashes -- be prepared -- a flaming future?,['forest fires'],"['forest fires', 'wildfires', 'fire ecology']",s,{'forest fires': 1}
cranberries,"introduces the cranberry, from the time it begins to grow on a vine until it is made into cranberry sauce and other foods",cranberry vines -- bogs -- machines,"['cranberries', 'cranberries']","['cranberries', 'horticultural products', 'plant propagation', 'plant products']",s,{'cranberries': 1}
carrots,"introduces the carrot, from the time it begins to grow from a seed until it is eaten",seeds -- harvesttime -- the store,"['carrots', 'carrots']","['carrots', 'seed crops', 'germination']",s,{'carrots': 1}
mustang,introduces the wild mustang and its importance in the history of native americans and of the united states,the first mustangs -- mustangs and the plains indians -- mustangs today,['mustang'],"['indians of north america', 'mustang', 'wild horses']",s,{'mustang': 2}
texas longhorn,introduces the texas longhorn and its importance in the history of the united states,longhorns and the beef business -- an unusual breed -- the cattle drives -- the cattle drives end -- longhorns today,['texas longhorn cattle'],"['texas longhorn cattle', 'beef cattle', 'beef industry']",s,{'texas longhorn cattle': 1}
wheat,"introduces wheat, from the time it is planted in a field until it is made into different foods",wheat fields -- harvesting -- wheat grains,"['wheat', 'wheat']","['wheat', 'food crops']",s,{'wheat': 1}
tomatoes,"introduces the tomato, from the time it begins to grow on a vine until it is made into different kinds of foods",seeds -- picking tomatoes -- packing tomatoes,"['tomatoes', 'tomatoes']","['plant propagation', 'germination', 'seed crops']",s,{'tomatoes': 10}
oranges,"introduces the orange, from the time it begins to grow from a seed until it is sold in a farmer's market",orange seeds -- harvesttime -- markets,"['oranges', 'oranges']","['fruit-culture', 'seed crops', 'citrus fruit industry']",s,{'oranges': 7}
equestrian,introduces equestrian sports and provides information on how to prevent and treat the most common riding injuries,history -- visualizing how to ride -- exercises for riders -- equipment and safety -- riding injuries -- a lifetime of riding,"['horsemanship', 'horse sports injuries']","['horse sports injuries', 'horse sports']",s,"{'horsemanship': 7, 'horse sports injuries': 1}"
geographic information systems in fisheries,summarizes a growing body of information on applications of geographic information systems (gis) in fisheries research and management,geographic information systems applications in stream and river fisheries -- geographic information systems applications in reservoir fisheries -- geographic information systems applications in lake fisheries -- geographic information systems applications in aquaculture -- geographic information systems applications in coastal marine fisheries -- geographic information systems applications in offshore marine fisheries -- geographic information systems in marine fisheries science and decision making,['fisheries'],"['fishery management, international']",s,{'fisheries': 4}
indigenous honeybees of the himalayas,with reference to study conducted by icimod's indigenous honeybees project in kāskī district in nepal,v 1 the himalayan cliff bee (apis laboriosa smith) and the honey hunters of kaski,"['honeybee', 'bee hunting']","['bee culture', 'worker honeybees']",s,"{'honeybee': 5, 'bee hunting': 4}"
alaska subsistence : a national park service management history,"""this study is a chronicle of how subsistence management in alaska has grown and evolved""--p viii","1 alaska native and rural lifeways prior to 1971 -- 2 the national park service and the subsistence question -- 3 subsistence in alaska's parks, 1910-1971 -- 4 the alaska lands question, 1971-1980 -- 5 initial subsistence management efforts -- 6 managing alaska's subsistence program, 1985-1989 -- 7 the federal assumption process, 1989-1993 -- 8 nps subsistence management activities, 1990-present -- 9 the subsistence fishing question -- 10 concluding remarks","['subsistence economy', 'fishery law and legislation', 'game laws', 'eskimos', 'eskimos', 'indians of north america', 'indians of north america']","['subsistence economy', 'national parks and reserves', 'conservation of natural resources']",s,"{'subsistence economy': 1, 'fishery law and legislation': 97, 'game laws': 672, 'eskimos': 178, 'indians of north america': 93}"
when your pet outlives you : protecting animal companions after you die,outlines ways in which a pet can be provided for after the death of an owner includes resources and sample documents for wills,i fear them losing me -- animals in our lives -- why our pets need protection -- establishing a pet id system -- appointing a pet caretaker -- what the law allows for protecting pets -- the courts: friend or foe? -- setting up a pet trust -- animal shelters and humane societies -- veterinarians and veterinary schools -- pet retirement homes and sanctuaries -- september 11th : the pets of ground zero,"['pet owners', 'pets', 'animal welfare']","['animal welfare', 'pet owners', 'dog owners', 'animal rescue']",s,"{'pet owners': 2, 'pets': 9, 'animal welfare': 1}"
"jefferson national forest, virginia [electronic resource] : proposed revised land and resource management plan; and, draft environmental impact statement","provides a list of land and resource issues facing the jefferson national forest the report will guide coordination of multiple uses such as outdoor recreation, oil and gas leases, timber, watersheds, fish and wildlife, etc, and promotes products and services of the jefferson national forest",letter from forest supervisor -- summary -- proposed revised plan -- draft environmental impact statement -- deis appendices,"['forest management', 'land use', 'environmental impact analysis']","['forest reserves', 'forests and forestry', 'forest protection']",s,"{'forest management': 5, 'land use': 57, 'environmental impact analysis': 45}"
