title,abstract,toc,true_lcsh_subjects,top_similar_lcsh_subjects,category,true_label_ranks
robert fulton : the steamboat man,"a brief biography of robert fulton, the inventor, artist, and engineer who is best known for his work with submarines and the steamboat","young inventor -- jewelry maker and artist -- working abroad -- ""fulton's folly"" -- success","['marine engineers', 'inventors', 'steamboats']","['naval art and science', 'steamboats']",v,"{'marine engineers': 33, 'inventors': 4, 'steamboats': 2}"
submarine,shows how submersible vessels work and what it's like to live underwater,what is a submarine? -- how a submarine works -- submarine propulsion -- early dreams and designs -- blockade busters -- the true submarine is born -- subs go to war -- doomed designs -- world war ii -- mini-submarines -- the nuclear age -- balance of power -- anatomy of a nuclear submarine -- flying the flag -- life on board -- how things have changed -- up periscope! -- submarine weapons -- antisubmarine warfare -- communication and navigation -- submarine disasters -- sub safety -- pioneering the depths -- into the abyss -- shipwreck -- creatures of the deep -- workers beneath the waves -- subs for fun -- subs of the future -- index,"['submarines (ships)', 'submersibles']","['submarines (ships)', 'nuclear submarines']",v,"{'submarines (ships)': 1, 'submersibles': 4}"
the few and the proud : from the sands of iwo jima to the deserts of iraq : marine corps drill instructors in their own words,"beginning with interviews with the last surviving drill instructors of world war ii, this oral history offers the voices of veterans from every major war of the last sixty years, concluding with accounts of what it takes to train marines for iraq today it contains revelatory details about the vicious training techniques used to prepare marines for the great battles against japan in the pacific; the ribbon creek training disaster of the 1950s; and legendary stories by the likes of iwo jima veteran ""iron"" mike mervosh and r lee ermey, the infamous drill instructor from full metal jacket with death-defying accounts relayed from the mcrd in san diego and the legendary parris island, the few and the proud is both a personal history of the 230-year-old us marine corps and a repository of heroism, leadership, and determination in the toughest division of the united states military--from publisher description",chuck taliano -- iron mike mervosh -- camp pendleton -- bill paxton -- ed walls -- camp lejeune -- dave robles -- robert mastrion -- eddie adams -- matthew c mckeon -- morton janklow -- james wheeler -- gene alvarez -- the yellow footprints -- marines and the movies: r lee ermey -- mike malachowsky -- the crucible -- montford point: how blacks made it into the marines: gene doughty -- herman rhett -- ellis cunningham -- david dinkins -- women marines: the fight for equality: denise kreuser -- doris kleberger -- mary sue league -- jeanne botwright -- christine henning -- women counting cadence -- the new breed: the more things change the more things stay the same: rodolfo rodriguez -- clint kreuser -- josh wylie -- rob bush -- will post -- keith burkepile -- men counting cadence -- the known marine,['basic training (military education)'],"['military education', 'sociology, military', 'marines', 'women marines']",v,{'basic training (military education)': 5}
robert fulton,a simple look at the life of the famous inventor,"""fulton's folly"" -- growing up -- ""boat-fish"" -- steam -- mighty mississippi -- chronology -- timeline in history -- find out more -- glossary -- index","['marine engineers', 'inventors', 'steamboats']","['inventors', 'naval history', 'naval art and science']",v,"{'marine engineers': 37, 'inventors': 1, 'steamboats': 5}"
power at sea,"""[volume 1] traces the social issues, technological advances, and combative encounters of the international naval race from 1890 through wwi, as the largest industrial nations (us, great britain, japan, and germany) scrambled to secure global markets and empire, using their battleship navies as pawns of power politics""--provided by publisher","v 1 the age of navalism, 1890-1918 -- the master: alfred thayer mahan -- the architects: theodore roosevelt, alfred von tirpitz, and john ""jacky"" fisher -- scorpions in a bottle -- rengo kantai -- the boast of the red, white and blue -- rush to conflict -- standoff, 1914-1915 -- jutland -- terror at sea, 1915-1918: the submarine and its consequences v 2 the breaking storm, 1919-1945 -- the containment of sea power: washington, 1921-1922 -- the race resumes -- a lion in winter -- preparing for armageddon: germany -- preparing for armageddon: japan -- american revolution -- contours of conflict -- the axis: lost victories -- defending the atlantic lifeline -- the allies: foundations of conquest -- gem of the ocean v 3 a violent peace, 1946-2006 -- grand strategy -- going mad: the nuclearization of sea power -- ""grey diplomats:"" the sixth and seventh fleets in the 1950s -- the a-frame fractor and other frustrations: korea and vietnam -- crisis and consequence: cuba, 1962 -- red fleet rising -- reversals of fortune -- rocks and shoals -- navy imperial","['sea-power', 'marine engineering', 'naval history', 'navies', 'war and society']","['naval history', 'naval history, modern']",v,"{'sea-power': 3, 'marine engineering': 56, 'naval history': 1, 'navies': 17, 'war and society': 60}"
tugboats,"""summary: simple text and photographs describe tugboats, their parts, and what they do""--provided by publisher",tugboats -- parts of tugboats -- what tugboats do -- mighty tugboats,['tugboats'],"['tugboats', 'search and rescue boats', 'motorboats']",v,{'tugboats': 1}
"confederate naval cadet : the diary and letters of midshipman hubbard t minor, with a history of the confederate naval academy","""this work provides an in-depth look at the realities of life as a cadet at the southern naval academy the main focus of the work is the diary which hubbard minor kept as a cadet requirement it provides a day-by-day account of minor's duties as well as his active service on board the css savannah""--provided by publisher","introduction -- the 42nd tennessee infantry regiment -- the confederate naval academy -- the academic staff -- the diary -- report to the academy -- drewry's bluff -- assigned to the css savannah -- attack on the uss water witch -- savannah is lost -- the end approaches -- some final thoughts -- appendices -- a regulations of the school ship css patrick henry -- b a realistic war college -- johnson's island expedition -- initial report of lieutenant commander austin pendergrast -- federal commander of the uss water witch -- e officers assigned to the css savannah through december 1864 -- f report of commander brent, cs navy, regarding operations connected with the evacuation of the city of savannah -- g the gold and silver in the confederate states treasury -- h confederate naval cadets",['midshipmen'],"['naval history', 'naval history, modern']",v,{'midshipmen': 8}
"the man who made the monitor : a biography of john ericsson, naval engineer","""the main focus of this work is ericsson's design and construction of the ironclad uss monitor one of the first viable armored warships, the monitor revolutionized naval warfare the world over""--provided by publisher",miner and canal boy -- soldier and inventor john -- to england -- locomotion -- john bull -- propulsion -- the new world -- the princeton disaster -- the age of caloric -- naval blockade -- the new merrimack -- lincoln's raft -- the monitor -- the right track -- happy experience -- the monitor boys -- tragic end -- monitor craze -- the destroyer -- solar energy -- centennial exhibition -- alfred nobel -- manhattan -- the man -- family and friends -- home again -- ericsson remembered -- lost and found,['marine engineers'],"['naval art and science', 'naval architecture']",v,{'marine engineers': 20}
destroyers,"describes naval destroyers, their tasks, and what their crews do",what are destroyers? -- destroyer parts -- destroyer crews -- mighty machines,['destroyers (warships)'],"['destroyers (warships)', 'cruisers (warships)', 'naval history']",v,{'destroyers (warships)': 1}
submarines,"""summary: simple text and photographs describe submarines, their parts, and what they do""--provided by publisher",what are submarines? -- parts of sub -- what subs do -- mighty machines,['submarines (ships)'],"['submarines (ships)', 'nuclear submarines', 'submarine warfare', 'virginia class (submarines)']",v,{'submarines (ships)': 1}
submarines up close,an introduction to submarines,"an underwater marvel -- how subs are built -- down the hatch -- steering the sub -- computers make it go -- look at that : periscopes -- sonar : sound, navigation, and ranging -- the control room -- meals under the sea -- ""man the torpedoes!"" -- going to the head -- berthing areas",['submarines (ships)'],"['submarines (ships)', 'nuclear submarines', 'submarine warfare']",v,{'submarines (ships)': 1}
water adventures,presents facts about water vehicles and how they are used,full speed ahead! -- the dangers of speed -- broken record -- city at sea -- carrier city -- ready for takeoff -- delving the depths -- super submersible -- home is where the ocean is,"['boats and boating', 'aircraft carriers', 'submersibles', 'ships']","['submersibles', 'search and rescue boats', 'motorboats']",v,"{'boats and boating': 10, 'aircraft carriers': 18, 'submersibles': 1, 'ships': 25}"
robert fulton's steamboat,"covers the life and career of robert fulton, the american inventor whose version of the steamship provided travelers with a relatively fast and inexpensive means of transportation","""fulton's folly"" -- imagination at work -- european adventures -- building the boat -- steam is king -- fulton's legacy -- glossary -- did you know? -- important dates -- important people -- want to know more? -- index","['steamboats', 'marine engineers', 'inventors']","['steamboats', 'electric boats', 'naval history']",v,"{'steamboats': 1, 'marine engineers': 78, 'inventors': 11}"
the lcac military hovercraft,"""provides an in-depth look at the lcac military hovercraft, with detailed cross-section diagrams, action photos, and fascinating facts""--provided by publisher",landing craft air cushion -- military hovercraft -- cross-section -- engines -- lift fans -- hull and skirt -- propellers -- maneuvering -- controls -- deck and crew -- payloads -- mission -- future -- glossary -- read more -- internet sites -- index,"['landing craft', 'ground-effect machines']","['landing craft', 'naval aviation', 'helicopters']",v,"{'landing craft': 1, 'ground-effect machines': 69}"
ships up close,"take an up-close look at ships on the water today--from ferries, to cargo ships to fishing vessels",come aboard! -- let's build : ship yards -- ports and docks -- setting sail! -- coming through : ice breakers -- catch of the day : fishing ships -- next stop : ferries -- protecting the waters -- fueling the world : oil tankers -- heavy load : cargo ships -- cruising : passenger ships -- the biggest of the big : aircraft carriers,"['ships', 'shipping']",['cargo ships'],v,"{'ships': 8, 'shipping': 84}"
on the sea,"""covers a wide selection of machines used on the sea, from submarines to sailboats, outlining how they work and what they are used for""--provided by publisher",on the sea -- powerboat racing -- jet ski -- supercarriers -- nuclear attack subs -- supertankers -- hovercrafts -- hydros and cats -- cruise ships -- luxury yachts -- sailboat racing,"['boats and boating', 'ships']","['electric boats', 'oceanographic research ships', 'motorboats']",v,"{'boats and boating': 12, 'ships': 39}"
"the marine corps and the state department : enduring partners in united states foreign policy, 1798-2007","""this work is a complete history of the partnership between the department of state and the us marine corps tracing the evolving role that marines have played in conjunction with the foreign service""--provided by publisher","origins of a mission, 1798-1900 -- ""our flag's unfurled to every breeze"" : marine legation guards from china to nicaragua, 1900-1940 -- ashore and afloat : the marines and service with the department of state, 1904-1945 -- a new mission : marine embassy security guards and the memorandum of agreement, 1946-1954 -- the early years : revolutions, coups, civil wars, 1949-1964 -- embassy guards at war : vietnam, cambodia, and laos, 1962-1975 -- standing watch over a troubled world, 1961-1979 -- embassies at war and in peace, 1979-1991 -- coups, non-combatant evacuations, and the war on terror, 1991-2007 -- not just fitting in but standing out : marine security guard school, 1979-2004 -- ""our marines"" : a retrospective","['embassy buildings', 'diplomatic and consular service']","['civil-military relations', 'marines', 'women marines']",v,"{'embassy buildings': 66, 'diplomatic and consular service': 6}"
"the school back then, the ocean back then, and the war : an engineer's log","maine maritime academy graduate hopkins, of the class of 1946, relates his travels and experiences, including his time at the academy and on the liberty ship js hutchinson during and after world war ii",pt 1 the beginnings: ch 1 mugs and more ; ch 2 senior cruise and done! -- part 2 licensed and at sea: ch 1 new orleans to panama city ; ch 2 panama city to kobe ; ch 3 kobe to the philippines ; ch 4 homeward bound -- postscript: the long trip home -- appendix: synopsis of my career ; some thoughts on operating the liberty ship -- maps & charts,"['marine engineers', 'merchant marine', 'seafaring life', 'world war, 1939-1945']","['naval history', 'naval art and science', 'naval history, modern', 'oceanographic research ships']",v,"{'marine engineers': 7, 'merchant marine': 23, 'seafaring life': 95, 'world war, 1939-1945': 99}"
the press gang : naval impressment and its opponents in georgian britain,"the press gang, and its forcible recruitment of sailors to man the royal navy in times of war, acquired notoriety for depriving men of their liberty and carrying them away to a harsh life at sea, sometimes for years at a time nicholas rogers explains exactly how the press gang worked, whom it was aimed at and how successful it was in achieving its ends he also shows the limits to its operations and the press gang's need for cooperation from local authorities, who were by no means prepared to support it--from publisher description","introduction -- impressment and the law -- resisting the press gang : trends, patterns, dynamics -- spotlight on two ports : bristol and liverpool -- manning the navy in the mid-century atlantic -- the navy and the nation, 1793-1820 -- epilogue",['impressment'],"['naval history, modern', 'naval history', 'merchant ships']",v,{'impressment': 98}
marine expeditionary units,"""amazing photography accompanies engaging information about marine expeditionary units the combination of high-interest subject matter and light text is intended for students in grades 3 through 7""--provided by publisher",what is a marine expeditionary unit? -- weapons and gear -- life in a marine expeditionary unit,['special forces (military science)'],"['military art and science', 'special forces (military science)', 'marines']",v,{'special forces (military science)': 2}
aboard the farragut class destroyers in world war ii : a history with first-person accounts of enlisted men,"""this book describes the life of the enlisted man aboard a farragut class destroyer during the pre-war years; the war preparation period in 1941; and the wartime years it features first-person narrations collected from interviews and correspondence with the remaining farragut class destroyer sailors, and describes the farragut class destroyers, five which survived the war""--provided by publisher","introduction -- the ship -- the ship's company -- the dungaree navy -- the hawaiian detachment -- condition ii : underway -- december 7, 1941 -- the south pacific -- the aleutians -- the central pacific and the typhoon of december 1944 -- the uniform -- liberty -- the farragut finishing school -- ship histories","['destroyers (warships)', 'world war, 1939-1945']","['naval history', 'naval history, modern', 'virginia class (submarines)']",v,"{'destroyers (warships)': 4, 'world war, 1939-1945': 64}"
nuclear submariners,"this fascinating book looks at what life is like for the men who live and work together on nuclear submarines; what the inside of a nuclear submarine looks like and how it works; how the sea gives the submariners all the air they need to breathe while under water; and how they ""fight"" the boat while they hunt other submarines",life beneath the ocean -- the submarines -- the dangers -- limited options -- submariner training -- the crew -- turning water into air -- going nuclear -- sonar -- dive! -- life onboard -- food and water -- action stations -- it's a fact!,"['nuclear submarines', 'submariners']","['nuclear submarines', 'submarines (ships)']",v,"{'nuclear submarines': 1, 'submariners': 4}"
arleigh burke destroyers,"""amazing photography accompanies engaging information about arleigh burke destroyers the combination of high-interest subject matter and light text is intended for students in grades 3 through 7""--provided by publisher",the arleigh burke destroyer in action -- guided-missile destroyer -- weapons and features -- arleigh burke missions,"['guided missile ships', 'destroyers (warships)']","['guided missile ships', 'naval gunnery', 'naval aviation']",v,"{'guided missile ships': 1, 'destroyers (warships)': 7}"
ticonderoga cruisers,"""amazing photography accompanies engaging information about ticonderoga cruisers the combination of high-interest subject matter and light text is intended for students in grades 3 through 7""--provided by publisher",the ticonderoga cruiser in action -- guided-missile cruiser -- weapons and features -- ticonderoga cruiser missions,"['cruisers (warships)', 'warships']","['guided missile ships', 'cruisers (warships)', 'littoral combat ships', 'naval aviation']",v,"{'cruisers (warships)': 2, 'warships': 24}"
modern warships & submarines,"""reveals and discusses the intricate internal workings of modern warships and submarines""--provided by publisher",raiders and traders -- sea power -- ballistic missile -- submarine -- fast attack submarine -- diesel-electric submarine -- aircraft carrier -- cruiser -- destroyer -- stealth corvette -- littoral combat ship -- amphibious assault craft -- mine hunter-killer -- future machines,"['warships', 'submarines (ships)']","['submarines (ships)', 'nuclear submarines', 'submarine warfare']",v,"{'warships': 15, 'submarines (ships)': 1}"
"consolidated afloat networks and enterprise services (canes) : manpower, personnel, and training implications","""the computer networks, systems, and applications used on navy ships are an amalgam of disparate hardware and software systems that were developed and introduced onboard largely independent from one another the consolidated afloat networks and enterprise services (canes) initiative is designed to consolidate and improve the networks on tactical platforms, largely through a common computing environment the conversion to canes could reduce requirements for manpower and alter the demand for training this report provides a review of current navy manpower, personnel, and training practices; the implications of the conversion to canes; and resulting recommendations""--rand web site","where the navy is (and has been) -- manpower, personnel, and training implications for the canes program -- recommendations -- appendix a: system descriptions -- appendix b: training model description -- appendix c: modeling equations -- appendix d: benefits and costs",['command and control systems'],"['naval aviation', 'network-centric operations (military science)', 'naval tactics']",v,{'command and control systems': 52}
benjamin brown and the great steamboat race,the story of a race between steamboats natchez and robert e lee in 1870 includes a script for readers' theater,benjamin brown and the great steamboat race -- author's note -- performing reader's theater -- cast of characters -- the script,"['steamboats', ""readers' theater""]","['steamboats', 'tugboats']",v,"{'steamboats': 1, ""readers' theater"": 125}"
the shipwreck research handbook,"""this is the book that reveals the arcane methods and secret pathways of archival research: a complete guide that takes the reader through the mysteries and complexities of library holdings, museum collections, and governmental records""--p [4] of cover","introduction -- part one: published sources: publications with national shipwreck listings, volumes with vessel listings, books with local shipwreck listings, newspapers -- part two: washington, district of columbia: national archives, naval historical center, judge advocate general, us coast guard historian's office, smithsonian institution -- part three: maritime museum libraries -- part four: embarking on research -- part 5: picture sources -- primary contacts -- index -- books by the author","['shipwrecks', 'shipwrecks', 'research']","['naval history', 'shipwrecks']",v,"{'shipwrecks': 2, 'research': 112}"
"confederate sailors, marines, and signalmen from virginia and maryland","""this handy reference volume contains alphabetical listings of men from virginia and maryland who served as: confederate naval officers and sailors; confederate marine corps officers and enlisted men; and confederate signal corps officers, signalmen and telegraph operators the amount of data included in individual entries varies greatly in addition to the name, any combination of the following may be included: rank and division, date and/or place of birth, date and/or place of death, place of burial, occupation, residence, date and place of enlistment, date and/or place of discharge, physical description, and much more""--back cover","confederate sailors from virginia and maryland -- confederate marine officers and enlisted men from virginia and maryland -- confederate signal officers, signalmen and telegraph operators from virginia and maryland","['sailors', 'sailors']","['virginia class (submarines)', 'naval history', 'naval history, modern']",v,{'sailors': 36}
operational culture for the warfighter : principles and applications,"""this textbook is designed to help marines link concepts of culture to the realities of planning and executing military operations around the world"" -- p 2","foreword / general james n mattis, usmc -- acknowledgments -- introduction -- part 1 terms of reference: 1 context ; 2 defining culture -- part 2 five operational culture dimensions for planning and execution: 3 dimension 1 - the physical environment ; 4 dimension 2 - the economy ; 5 dimension 3 - the social structure ; 6 dimension 4 - the political structure ; 7 dimension 5 - belief systems -- part 3 toward applying operational culture: 8 from models to dimensions to observable realities ; 8 operational culture learning in training and education -- conclusion -- appendix a glossary of terms -- appendix b culture operator's questions -- bibliography","['strategy', 'military planning', 'military art and science', 'cultural awareness', 'cultural awareness', 'multicultural education', 'multiculturalism', 'sociology, military', 'military education', 'textbooks']","['military doctrine', 'sociology, military', 'unified operations (military science)']",v,"{'strategy': 44, 'military planning': 4, 'military art and science': 14, 'cultural awareness': 24, 'multicultural education': 57, 'multiculturalism': 73, 'sociology, military': 2, 'military education': 10, 'textbooks': 151}"
paper yachts : streamlined designs and water-resistant templates to make and sail,"""a sailor's love of the high seas need not be limited by time or money now, anybody can enjoy sailing -- all it takes is some paper and your own immagination! paper yachts lets you enjoy big-boat racing on a small scale create miniature imitations of the most competitive yachts on the planet, from the larger international america's cup class to the small and nimble extreme 40s captain your own vessel with 16 water-resistant templates that allow you to set sail in the tub, pool, stream, or ocean detailed instructions and illustrations help you fold and launch each sailboat, and course suggestions set you up for serious match racing or a mixed class regatta loaded with gorgeous photos and nautical information, paper yachts is more than origami, it's the excitement of sailing so weigh anchor, cast off, and be an admiral of the sea for a day""--p [4] of cover",the racing yachts -- america's cup -- open 60 -- volvo open 70 -- extreme 40 -- the boatyard: water-resistant templates for sixteen yachts -- america's cup templates -- open 60 templates -- volvo open 70 templates -- extreme 40 templates,"['yachts', 'paper work', 'paper toys']","['fiberglass boats', 'sailboats']",v,"{'yachts': 10, 'paper work': 100, 'paper toys': 20}"
get all tied up : tying knots,"""a fun look at the knot's place in history, sailing, fishing and sports illustrations and instructions provided to learn how to tie ten different types of knots and what the knots can be used for glossary, additional resources and index""--provided by publisher",knots: tied to history -- the right knot for the job -- learning knots: ten knots to tie -- putting it together - building with knots,['knots and splices'],"['knots and splices', 'nautical charts', 'tugboats', 'naval history', 'sailing']",v,{'knots and splices': 1}
crash dive : true stories of submarine combat,"""they are the ultimate unseen deterrent in modern warfare thousands of tons of steel, missiles, torpedoes, and men lurking silently hundreds of feet underwater, able to lie off any coastline and unleash a devastating hail of destruction with pinpoint accuracy they are the true masters of the oceans, striking swift and unseen before slipping away, ready to do it all over again at a moment's notice"" --cover, p 2","foreword / by rear admiral arlington f campbell, (us navy) ret -- introduction / larry bond -- batfish from submarine! / by commander edward l beach -- mergui archipelago from one of our submarines / by commander edward young -- first blood from pigboat 39 : an american sub goes to war / by bobette gugliotta -- on patrol in the indian ocean from shooting the war : the memoir and photographs of a u-boat officer in world war ii / by otto giese and captain james e wise, jr -- return to palau from maru killer : war patrols of the uss seahorse / by dave bouslog -- convoy hunting south of the equator from wake of the wahoo / by forest j sterling -- jackpot at monte carlo from submariner / by captain john coote -- pow rescue from uss pampanito : killer-angel / by gregory f michno -- off to convoy college from nothing friendly in the vicinity / by claude c connor -- wolfpack from war in the boats : my wwii submarine battles / by captain william j ruhe -- piercing the pole from nautilus 90 north / by commander william r anderson with clay blair, jr -- the bells of hell from one hundred days : the memoirs of the falklands battle group commander / by admiral sandy woodward with patrick robinson -- accident on k-219 from hostile waters / by captain peter huchthausen, captain first rank igor kurdin, russian navy, and r alan white -- the domain of the golden dragon from spy sub : a top secret mission to the bottom of the pacific / by roger c dunham -- improving the breed from rising tide : the untold story of the russian submarines that fought the cold war / by gary e weir and walter jboyne","['submarines (ships)', 'submarine warfare', 'submariners']","['submarine warfare', 'submarines (ships)', 'naval history', 'nuclear submarines', 'virginia class (submarines)']",v,"{'submarines (ships)': 2, 'submarine warfare': 1, 'submariners': 7}"
navy : civilian to sailor,what does it take to become a member of the united states navy? find out in this exciting look inside the us navy's training program,"a daring rescue -- signing up -- group leaders -- getting physical -- in the water -- ready, aim, fire! -- fighting fires -- battle stations -- endings and beginnings -- preparing for the us navy -- glossary","['sailors', 'basic training (military education)']","['basic training (military education)', 'naval aviation', 'naval tactics', 'nautical training-schools', 'naval gunnery']",v,"{'sailors': 29, 'basic training (military education)': 1}"
"battle history of the united states marine corps, 1775-1945","""this book describes the engagements from the formation of the continental marines to the corps' exercise at okinawa organized chronologically, the individual skirmishes illustrate how each of the marine corps's engagements contributed to the formation and evolution of the united states persons and divisions of note are mentioned, including key players, commanders and medal recipients""--provided by publisher",american revolution -- the fighting tops -- barbary wars -- war of 1812 -- between the wars -- war with mexico -- american civil war -- china -- colombia/panama -- spanish-american-cuban war -- philippine islands -- cuba -- mexico 1914 -- haiti -- dominican republic -- world war i -- nicaragua -- world war ii,['battles'],"['naval history', 'naval history, modern', 'low-intensity conflicts (military science)', 'submarine warfare', 'women marines']",v,{'battles': 29}
"the heart and the fist : the education of a humanitarian, the making of a navy seal","the author describes how, after working as a humanitarian around the world, he realized that he could do nothing to stop violence or prevent people from becoming refugees and soon joined the elite navy seals, where he drew on his humanitarian training as he battled injustice",pt 1 mind and fist iraq ; china ; boxing -- pt 2 heart and mind bosnia ; rwanda ; bolivia ; oxford -- pt 3 heart and fist officer candidate school ; seal training ; hell week ; advanced combat training ; afghanistan ; southeast asia ; kenya ; iraq ; the mission continues,"['humanitarian assistance, american']","['seamanship', 'sociology, military', 'military education', 'humanitarian assistance, american', 'combat patrols']",v,"{'humanitarian assistance, american': 4}"
women of the us marine corps : breaking barriers,"""describes the past, present, and future of women in the us armed forces""--provided by publisher","answering the call -- bit of history -- few, the proud -- future of women in the marines",['women marines'],"['women marines', 'women and the military', 'women admirals', 'marine corps spouses', 'women sailors']",v,{'women marines': 1}
littoral combat ships,"""amazing photography accompanies engaging information about littoral combat ships the combination of high-interest subject matter and light text is intended for students in grades 3 through 7""--provided by publisher",the littoral combat ship in action -- shallow water defense -- weapons and features -- lcs missions,['littoral combat ships'],"['littoral combat ships', 'naval tactics', 'torpedo-boats', 'naval history', 'naval history, modern']",v,{'littoral combat ships': 1}
