title,abstract,toc,true_lcsh_subjects,top_similar_lcsh_subjects,category,true_label_ranks
a kid's guide to drawing america,"state geography, history, and culture are presented through directions for drawing the official seal, flag, flower, animal, and tree of the fifty states, the district of columbia, and puerto rico",[v 1] alabama -- [v 2] alaska -- [v 3] arizona -- [v 4] arkansas -- [v 5] california -- [v 6] colorado -- [v 7] connecticut -- [v 8] delaware -- [v 9] district of columbia -- [v 10] florida -- [v 11] georgia -- [v 12] hawaii -- [v 13] idaho -- [v 14] illinois -- [v 15] indiana -- [v 16] iowa -- [v 17] kansas -- [v 18] kentucky -- [v 19] louisiana -- [v 20] maine -- [v 21] maryland -- [v 22] massachusetts -- [v 23] michigan -- [v 24] minnesota -- [v 25] mississippi -- [v 26] missouri -- [v 27] montana -- [v 28] nebraska -- [v 29] nevada -- [v 30] new hampshire -- [v 31] new jersey -- [v 32] new mexico -- [v 33] new york -- [v 34] north carolina -- [v 35] north dakota -- [v 36] ohio -- [v 37] oklahoma -- [v 38] oregon -- [v 39] pennsylvania -- [v 40] puerto rico -- [v 41] rhode island -- [v 42] south carolina -- [v 43] south dakota -- [v 44] tennessee -- [v 45] texas -- [v 46] utah -- [v 47] vermont -- [v 48] virginia -- [v 49] washington -- [v 50] west virginia -- [v 51] wisconsin -- [v 52] wyoming,"['drawing', 'us states']","['drawing, american', 'pastel drawing, american', 'national characteristics, american, in art']",n,"{'drawing': 7, 'us states': 16}"
let a thousand flowers bloom : contemporary art of orissa,contributed articles,the emergence of modernism : art of the last five decades (1950-2000) / dinanath pathy -- khallikote in the 1980s and 1990s / alekh charan sahu -- the centre and the periphery / dilip kumar tripathy -- spelling regional flavour / prodosh kumar mishra -- internationalism and envisioning the future / soubhagya pathy,"['art, indic', 'artists']","['indian art', 'indians in art', 'hindu art', 'art, indic']",n,"{'art, indic': 4, 'artists': 488}"
"jahangir, a connoisseur of mughal art","study on the achievements of mughal artists during the reign of jahangir, emperor of hindustan with special reference to characteristics of mughal painting and miniature painting",machine generated contents note: i historical survey of mughal painting -- ii jahangir as a naturalist art lover -- iii painting during jahangir's reign -- iv painting under akbar and jahangir: a comparative -- study -- v chief characteristics of style -- vi artists of his realm -- vii jahangir as a connoisseur of mughal art -- viii conclusion,"['miniature painting, mogul empire']","['hindu painting', 'miniature painting, indic']",n,"{'miniature painting, mogul empire': 19}"
alexander calder,"briefly examines the life and work of the twentieth-century american sculptor, describing and giving examples of his art",who was alexander calder? -- early years -- becoming an engineer -- becoming an artist -- studying in paris -- starting sculpture -- abstract art -- paintings in motion -- a new sculpture -- new combinations -- a happy life -- bigger than life -- last exhibition,['sculptors'],"['kinetic sculpture, american', 'sculpture, modern']",n,{'sculptors': 49}
grandma moses,"briefly examines the life and work of the twentieth-century american painter, describing and giving examples of her art",who was grandma moses? -- early years -- moving away -- starting to paint -- showing her paintings -- first sale -- some shows in new york -- reaching more people -- a famous artist -- painting history -- making money -- a big birthday party -- a peaceful ending,['painters'],['jews in art'],n,{'painters': 446}
diego rivera,"briefly examines the life and work of the twentieth-century mexican painter, describing and giving examples of his art",who was diego rivera? -- early years -- going to school -- big changes -- leaving mexico -- visiting paris -- a new style -- important trip -- return to mexico -- taking a new job -- public art -- helping a cause -- working until the end,"['muralists', 'painters', 'mural painting and decoration']","['national characteristics, mexican, in art', 'mexicans in art']",n,"{'muralists': 64, 'painters': 426, 'mural painting and decoration': 58}"
caravan to america : living arts of the silk road,"profiles eight artists and artisans now living in america who are originally from the ""silk road,"" an ancient network of caravan trails through which trade goods, ideas, and arts pass between asia and the mediterranean","qi shu fang: peking opera performer -- doug kim: korean american martial artist -- yeshi dorjee: tibetan artist-monk -- abdul khaliq muradi: turkmen rug restorer -- tamara katayev: bukharan singer -- najmieh batmanglij: iranian american cook -- la verne j magarian: armenian american calligrapher and paper artist -- peter kyvelos, greek american oud maker","['folk art', 'ethnic art', 'handicraft', 'expatriate artists', 'folk artists', 'artisans', 'arts, american']","['rural-urban migration in art', 'arts, central asian', 'arts and globalization']",n,"{'folk art': 75, 'ethnic art': 11, 'handicraft': 324, 'expatriate artists': 12, 'folk artists': 134, 'artisans': 66, 'arts, american': 34}"
the holy city of jerusalem,"provides an overview of the history of jerusalem, focusing on some of the city's architecture",kings herod's jerusalem -- roman jerusalem -- muslim jerusalem -- christian jerusalem -- modern jerusalem,['architecture'],"['architecture and religion', 'religious architecture', 'islam and architecture']",n,{'architecture': 137}
women artists of the west : five portraits in creativity and courage,narrative profiles of five notable women artists who influenced the art of the american west,maria martinez -- georgia o'keeffe -- laura gilpin -- dorothea lange -- mary-russell colton,"['women artists', 'art, american']","['women in art', 'women, black, in art', 'frontier and pioneer life in art']",n,"{'women artists': 5, 'art, american': 103}"
how to draw cartoon holiday symbols,"provides facts about eight holidays, as well as step-by-step instructions for drawing cartoons of symbols associated with each one",cartoon holiday symbols -- valentine's day -- st patrick's day -- easter -- independence day -- halloween -- thanksgiving -- christmas -- hanukkah,"['drawing', 'holiday decorations in art', 'cartooning']",['thanksgiving day in art'],n,"{'drawing': 27, 'holiday decorations in art': 2, 'cartooning': 55}"
walt disney : meet the cartoonist,"a biography of walt disney, whose childhood dreams of becoming a cartoonist and doing things new ways led to great success in animated and live-action films, television, and theme parks","on the farm -- ""i want to be an artist"" -- hollywood -- mickey and friends -- disneyland -- timeline -- words to know -- learn more about walt disney (books and internet addresses) -- index","['animators', 'motion pictures']","['disney characters in art', 'disney characters', 'cartoonists']",n,"{'animators': 8, 'motion pictures': 161}"
how to draw cartoon symbols of the united states of america,"provides facts about eight symbols of the united states, as well as step-by-step instructions for drawing cartoons of each one",cartoon symbols of the united states of america -- the american flag -- the bald eagle -- the statue of liberty -- the liberty bell -- george washington -- uncle sam -- the pilgrims -- mount rushmore,['drawing'],"['flags in art', 'logos (symbols)']",n,{'drawing': 33}
"light, color & art activities",information about various topics related to the science of light and color forms the foundation for a variety of craft projects,bright colors -- sunshine -- silvery shades -- reflections -- metallic gleam -- skylights -- flashing neons -- black and white -- invisible rays -- i spy -- shadowy shapes -- laser beams -- tints and dyes -- dots and pixels -- floating bubbles -- firecrackers -- color and mood -- rolls of film -- magic glass -- clear crystals -- lamps and lanterns,['color in art'],"['light in art', 'lighting, architectural and decorative']",n,{'color in art': 26}
runaway girl : the artist louise bourgeois,"introduces the life of renowned modern artist louise bourgeois, who is known primarily for her sculptures","family tapestry -- family secrets -- a young artist in paris -- runaway girl -- the new york art scene -- the great decade -- spider, spider, burning bright",['artists'],"['mothers in art', 'women and the decorative arts', 'dissident art']",n,{'artists': 348}
andy warhol : the life of an artist,"explores the life and career of the twentieth-century american artist, focusing on his famous works of pop art and many other creative endeavors",early drawings -- college years -- career beginnings -- pop art rules -- in the studio: silk screening -- fame under attack -- famous and rich -- last days,['artists'],['history in art'],n,{'artists': 231}
georgia o'keeffe : the life of an artist,presents the life of the twentieth-century american painter who drew much of her artistic inspiration from nature,i'm going to be an artist -- finding the artist inside -- o'keeffe and stieglitz -- giant blossoms and city scenes -- bleached bones and desert dust -- lone artist at abiquiu -- fading light,['artists'],"['african american painting', 'african americans in art', 'african american art']",n,{'artists': 120}
willem de kooning : the life of an artist,discusses the private and professional life of the twentieth-century american painter who was part of the abstract expressionism movement of art,"cowboy dreams -- new york! new york! -- painting in action -- bill's ""girls"" -- back to the sea -- the last paintings",['artists'],"['genre painting, dutch', 'narrative painting, american']",n,{'artists': 241}
how to draw egypt's sights and symbols,"presents step-by-step directions for drawing the national flag, an arabian camel, a pyramid, and other sights and symbols of egypt",let's draw egypt -- more about egypt -- the artist -- map of egypt -- flag of egypt -- camel -- date palm -- step pyramid of djoser -- mask of king tut -- egyptian scarab -- bust of queen nefertiti -- temple of ramses ii at abu simbel -- felucca -- cleopatra's cartouche -- mohammad ali mosque -- minarets -- islamic tile -- high aswan dam -- facts about egypt -- time line,['drawing'],"['architecture, egyptian', 'art, egyptian', 'islamic miniature painting']",n,{'drawing': 42}
how to draw france's sights and symbols,"presents step-by-step directions for drawing the national flag, grapes, the eiffel tower, and other sights and symbols of france","let's draw france -- a profile of france -- the artist, claude monet -- the map of france -- the flag of france -- fleur-de-lis -- animal: wild horses of camargue -- grapes -- lascaux cave paintings -- pont du gard -- mont st michel -- notre dame cathedral -- half-timbered houses -- statue of joan of arc -- chateau de chenonceau -- statue of napoleon bonaparte -- arc de triomphe -- eiffel tower -- facts about france -- timeline",['drawing'],"['national characteristics, french, in art', 'drawing, french', 'art objects, french', 'figure sculpture, french']",n,{'drawing': 133}
how to draw germany's sights and symbols,"presents step-by-step directions for drawing the national flag, a castle, a stork, and other sights and symbols of germany","let's draw germany -- more about germany -- the artist, caspar david friedrich -- white stork -- the map of germany -- the flag of germany -- the cornflower -- bust of charlemagne -- bamberger reiter -- cologne cathedral -- heidelburg castle -- gabled houses of bremen -- the brandenburg gate -- statue of the brothers grimm -- carriage of ludwig ii -- bust of richard wagner -- the reichstag -- messeturm in frankfurt -- facts about germany -- time line",['drawing'],"['sculpture, german', 'drawing, central european', 'drawing, european']",n,{'drawing': 92}
sea creatures,"presents instructions for drawing various fish and other creatures that live in or near water, including a shark, dolphin, and manatee",shark -- seahorse -- otter -- seal -- whale -- dolphin -- angler fish -- penguin -- octopus -- manatee -- sea turtle -- walrus,"['marine animals in art', 'drawing']","['marine animals in art', 'fishes in art', 'sharks in art', 'invertebrates in art']",n,"{'marine animals in art': 1, 'drawing': 29}"
sports stars,"presents instructions for drawing famous male and female athletes from a variety of sports, including tennis, basketball, and golf",venus williams -- pedro martinez -- pete sampras -- peyton manning -- brian mcbride -- kobe bryant -- mario lemieux -- marion jones -- tony hawk -- mia hamm -- lisa leslie -- tiger woods,"['sports in art', 'athletes in art', 'drawing']","['athletes in art', 'sports in motion pictures']",n,"{'sports in art': 3, 'athletes in art': 1, 'drawing': 99}"
watercraft,"presents instructions for drawing various boats, ship, and other watercraft, including a jet ski, a tall ship, and a riverboat",los angeles class submarine -- sail boat -- junk -- aircraft carrier -- jet ski -- battle ship -- tall ship -- catamaran -- hydroplane -- yacht -- riverboat -- america's cup yacht,"['boats and boating in art', 'drawing']","['boats and boating in art', 'ships in art', 'ocean liners in art', 'marine painting']",n,"{'boats and boating in art': 1, 'drawing': 14}"
ways of telling : conversations on the art of the picture book,"a collection of interviews with fourteen artists and writers of picture books who, regardless of their country of origin, have had a major impact in the united states",mitsumasa anno -- ashley brian -- eric carle -- tana hoban -- karla kuskin -- james marshall -- robert mccloskey -- iona opie -- helen oxenbury -- jerry pinkney -- maurice sendak -- william steig -- rosemary wells -- charlotte zolotow,"['picture books for children', 'illustrators', 'illustrators', 'authors']","['books in art', ""artists' books""]",n,"{'picture books for children': 10, 'illustrators': 587, 'authors': 927}"
"a historical epic : india in the making, 1757-1950 : from surrender to revolt, swaraj to responsibility",exhibition and auction catalog,"part one divided battles and an uprising in search of independence, 1757-1857 -- part two from princely durbars to a new responsibility for swaraj, 1858-1918 -- part three love, idealism and the truth of ahimsa amid the constancy of violence, 1919-1941 -- part four from quit india to the republic of another india, 1941-1950","['art, indic']",['indic literature'],n,"{'art, indic': 2}"
the taj mahal,"recounts the history of the creation of the taj mahal, built as a tomb and memorial for the wife of the mughal emperor shah jahan",the chosen one of the palace (1519-1631) -- the origins of the taj mahal (1562-1632) -- construction begins (1631-1632) -- bricks and marble (1632-1637) -- the illumined tomb (1632-1643) -- the garden of paradise on earth (1640-1643) -- the fall of the mughals (1643-present),"['taj mahal (agra, india)', 'architecture, mogul', 'agra (india)']","['taj mahal (agra, india)', 'hindu architecture']",n,"{'taj mahal (agra, india)': 1, 'architecture, mogul': 186, 'agra (india)': 48}"
frida kahlo,"a biography of the mexican painter who survived a near-fatal bus accident at the age of eighteen, learned to paint as a form of therapy, had a stormy marriage with diego rivera, and became a world-famous artist","the unconquerable spirit -- diego rivera, frida's destiny -- sundays with the ""little devil"" -- the elephant and the dove -- the perils of ""gringolandia"" -- ""a few little pricks"" -- artist of the casa azul -- long live life!",['painters'],"['mexicans in art', 'portrait painting, mexican', 'national characteristics, mexican, in art']",n,{'painters': 478}
how to draw russia's sights and symbols,"presents step-by-step directions for drawing the national flag, winter palace, matryoshka dolls, and other sights and symbols of russia",let's draw russia -- more about russia -- artist in russia -- map of russia -- flag of russia -- russia's coat of arms -- the birch tree -- st dimitrius cathedral -- st basil's cathedral -- peter the great -- the winter palace -- alexander pushkin -- the trans-siberian railway -- fyodor dostoyevsky -- vladimir ilich lenin -- matryoshka dolls -- the stone bank bridge -- the bolshevik revolution,['drawing'],"['drawing, central european', 'art, russian']",n,{'drawing': 39}
1-2-3 draw mythical creatures : a step-by-step guide,provides instructions for drawing a variety of creatures from myths and legends around the world,before you begin -- drawing basic shapes -- adding color -- about mythical creatures -- a note to parents and teachers -- creatures from greek and roman mythology -- creatures from medieval europe -- creatures from asia -- creatures from arabic mythology -- creatures from the british isles,"['art and mythology', 'animals, mythical, in art', 'drawing']","['animals, mythical, in art', 'imaginary creatures in art']",n,"{'art and mythology': 32, 'animals, mythical, in art': 1, 'drawing': 33}"
"nehru centre art gallery organises the millennium show, a century of art from maharashtra","catalogue of the art exhibition at mumbai, 2000-2001; also includes reproductions of paintings of participating artists",pt 1 14th december 2000 to 28th december 2000 -- pt 2 30th december 2000 to 13th january 2001,"['art, indic']","['indian art', 'mural painting and decoration, indic', 'indians in art', 'miniature painting, indic']",n,"{'art, indic': 8}"
the city within a city,"architecture of various palaces in udaipur, situated on the banks of lake pichola","v 1 jagmandir on lake pichola / dipti khera, raju mansukhani ; with a contributory essay by andrew topsfield","['architecture, rajput', 'palaces', 'art']","['architecture, rajput', 'hindu architecture']",n,"{'architecture, rajput': 1, 'palaces': 35, 'art': 658}"
on knowing : art and visual culture,essays drawing upon a range of disciplines to present arguments that help unravel the complex nature of aesthetic understanding and its relevance to contemporary education,"the position statements how are we to understand art at the beginning of a new century? / paul duncum -- how do we understand art? : aesthetics and the problem of meaning in the curriculum / kerry freedman -- what does it mean to know art? : an institutional account / ted bracey -- how can we know art? : the purple haze of epistemology in art education / philip pearson -- knowing art through multiple lenses : in defence of purple haze and grey areas / graeme chalmers -- how can theory inform knowing and teaching about art? / elizabeth garber -- the responses art, visual culture and art education / paul duncum -- understanding art as process and product : so what's new? / kerry freedman -- art and social life : some differences of approach / ted bracey -- retreat from the purple haze / philip pearson -- maintaining the purple haze / graeme chalmers -- knowing art as a social entity / elizabeth garber","['art', 'visual communication in art', 'popular culture', 'art and society']","['art and society', 'idea (philosophy) in art']",n,"{'art': 13, 'visual communication in art': 46, 'popular culture': 671, 'art and society': 1}"
voiceovers : 5th guinness contemporary art project,"in these video installations each artist reinterprets her own specific cultural background by presenting performances on screen viewers are taken through encounters with the cultures of tibet, india, japan and iran",lin li -- nalini malani -- mariko mori -- shirin neshat,"['video art', 'installations (art)', 'women artists']","['ethnic art', 'arts, central asian', 'arts, south asian']",n,"{'video art': 76, 'installations (art)': 99, 'women artists': 100}"
material culture : aspects of contemporary australian craft and design,"outlining aspects of contemporary australian craft and design, this book focuses on recent works in ceramics, glass, textiles, furniture, jewellery and metal",foreword / brian kennedy -- introduction / robert bell -- structure: robert baines; frank bauer; matthew curtis; mark edgoose; viliama grakalic; johannes kuhnen; sue lorraine; klaus moje; catherine truman; jenny turner; richard whiteley -- narrative: janet deboos; anne dybka; tony hanning; brian hirst; kay lawrence; jessica loughlin; helmut lueckenhausen; jeff mincham; milton moon; nick mount; kevin perkins; denise sprynskyj and peter boyd -- transformation: les blakebrough; pippin drysdale; marian hosking; helge larsen and darani lewers; mitsuo shoji; alan watt; margaret west; maureen williams; liz williamson,"['decorative arts', 'decorative arts']","['material culture', 'textile crafts']",n,{'decorative arts': 22}
sydney sandstone,"scattered throughout sydney is a plethora of 19th and early 20th century sandstone architecture, hewn from the city's foundations this series of superb colour photographs of these historical works is accompanied by essays written by tim flannery [et al]",machine generated contents note: introduction -- places of learning -- the stone -- places ofworship -- hewing the stone -- public buildings -- architecture -- commerce and trade -- attitudes -- out and about -- shaping the stone -- greater sydney -- about the contributors -- acknowledgments -- directory -- gary deirmendjian -- photographs -- tim flannery -- photographs -- shirley fitzgerald -- photographs -- philip cox -- photographs -- james broadbent -- photographs -- debby cramer -- photographs,"['sandstone buildings', 'sydney (nsw)']","['sandstone buildings', 'architecture, british colonial']",n,"{'sandstone buildings': 1, 'sydney (nsw)': 159}"
the new york times guide to the arts of the 20th century,"reviews, news articles, interviews and essays capturing 100 years of art, architecture, literature, music, dance, theater, film and television",v1 1900-1929 -- v2 1930-1959 -- v3 1960-1979 -- v4 1980-1999,"['arts, modern']","['artists and theater', 'art and popular culture']",n,"{'arts, modern': 16}"
leonardo da vinci,"discusses the life, works, and lasting influence of leonardo da vinci",leonardo de vinci -- young leonardo -- adoration of the magi -- leonardo's horse -- last supper -- anatomical studies -- leonardo's notes -- mona lisa -- leonardo's fame,['artists'],"['art, renaissance', 'history in art']",n,{'artists': 696}
mary cassatt,"discusses the life, works, and lasting influence of mary cassatt",mary cassatt -- young mary -- paris -- mary's travels -- edgar degas -- mothers and children -- prints -- modern woman -- mary's fame,['artists'],"['mothers in art', 'women and the decorative arts', 'maternity in art', 'feminism in art']",n,{'artists': 564}
matisse,"discusses the life, works, and lasting influence of henri matisse",henri matisse -- young henri -- art studies -- art styles -- fauvism -- post impressionism -- moving to the mediterranean -- final years -- matisse's fame,['artists'],"['impressionism (art)', 'post-impressionism (art)', 'history, modern, in art']",n,{'artists': 494}
rembrandt,"discusses the life, works, and lasting influence of rembrandt",rembrandt van rijn -- young rembrandt -- chiaroscuro -- anatomy lesson -- amsterdam -- etchings -- the night watch -- later years -- rembrandt's fame,['artists'],"['history in art', 'revolutions in art', 'history, modern, in art', 'drawing, renaissance']",n,{'artists': 710}
walt disney : a photo-illustrated biography,"a biography of the well-known animator, moviemaker, and theme park creator whose technological advancements gave us mickey mouse and disneyland","walt disney -- farm life -- growing up -- living his dream -- to california -- mickey, snow white, and more -- the war effort -- the disneyland dream -- the magic continues -- fast facts about walt disney",['animators'],"['disney characters in art', 'disney characters', 'animated film industry', 'animators']",n,{'animators': 4}
diego rivera,examines the life and work of the twentieth-century mexican painter known especially for his murals,stories -- portrait of the artist as a spoiled child -- school days -- european education -- mexican cowboy -- new and old visions -- a famous artistic couple,['painters'],"['national characteristics, mexican, in art', 'mexicans in art', 'mural painting and decoration, mexican']",n,{'painters': 476}
